Player,Player Origin,Role,Played For Country,dob
Abid Mushtaq,Indian,All-Rounder,0.0,1997-01-17
Akash Singh,Indian,Bowler,0.0,1995-12-20
Angkrish Raghuvanshi,Indian,Batter,0.0,2005-06-05
Anshul Kamboj,Indian,All-Rounder,0.0,2000-12-06
Arshin Kulkarni,Indian,All-Rounder,0.0,2005-02-15
Ashutosh Sharma,Indian,All-Rounder,0.0,1998-09-15
Avanish Rao Aravelly,Indian,Wicket-Keeper,0.0,
Jhathavedh Subramanyan,Indian,Bowler,0.0,
Manav Suthar,Indian,Bowler,0.0,2002-08-03
Mohd. Arshad Khan,Indian,All-Rounder,0.0,
Naman Dhir,Indian,All-Rounder,0.0,1999-12-31
Prince Choudhary,Indian,Bowler,0.0,1999-09-29
Ramandeep Singh,Indian,All-Rounder,0.0,1997-04-13
Rasikh Dar,Indian,Bowler,0.0,2000-04-05
Ricky Bhui,Indian,Wicket-Keeper,0.0,1996-09-29
Sakib Hussain,Indian,Bowler,0.0,2004-12-14
Saurav Chuahan,Indian,Batter,0.0,
Shashank Singh,Indian,Batter,0.0,1991-11-21
Shivalik Sharma,Indian,All-Rounder,0.0,1998-11-28
Shreyas Gopal,Indian,Bowler,0.0,1993-09-04
Swapnil Singh,Indian,All-Rounder,0.0,1991-01-22
Swastik Chhikara,Indian,Batter,0.0,
Tanay Thyagarajann,Indian,All-Rounder,0.0,
Vishwanath Pratap Singh,Indian,All-Rounder,0.0,
Tom Kohler-Cadmore,Overseas,Wicket-Keeper,0.0,1994-08-19
Azmatullah Omarzai,Overseas,All-Rounder,1.0,2000-03-24
Chetan Sakariya,Indian,Bowler,1.0,1998-02-28
K.S. Bharat,Indian,Wicket-Keeper,1.0,
Manish Pandey,Indian,Batter,1.0,1989-09-10
Nandre Burger,Overseas,Bowler,1.0,1995-08-11
Tristan Stubbs,Overseas,Wicket-Keeper,1.0,2000-08-14
Kartik Tyagi,Indian,Bowler,0.0,2000-11-08
Shai Hope,Overseas,Wicket-Keeper,1.0,1993-11-10
Ashton Turner,Overseas,Batter,1.0,1993-01-25
Gus Atkinson,Overseas,Bowler,1.0,1998-01-19
Sumit Kumar,Indian,All-Rounder,0.0,1995-12-30
Mohammad Nabi,Overseas,All-Rounder,1.0,1985-01-01
Sherfane Rutherford,Overseas,Batter,1.0,1998-08-15
Tom Curran,Overseas,All-Rounder,1.0,1995-03-12
Wanindu Hasaranga,Overseas,All-Rounder,1.0,1997-07-29
Jaydev Unadkat,Indian,Bowler,1.0,1991-10-18
Rachin Ravindra,Overseas,All-Rounder,1.0,1999-11-18
David Willey,Overseas,All-Rounder,1.0,1990-02-28
Lockie Ferguson,Overseas,Bowler,1.0,1991-06-13
Mujeeb Rahman,Overseas,Bowler,1.0,
Mustafizur Rahman,Overseas,Bowler,1.0,1995-09-06
Sushant Mishra,Indian,Bowler,0.0,2000-12-23
M. Siddharth,Indian,Bowler,0.0,1990-10-03
Robin Minz,Indian,Wicket-Keeper,0.0,2002-09-13
Harry Brook,Overseas,Batter,1.0,1999-02-22
Shardul Thakur,Indian,All-Rounder,1.0,1991-10-16
Chris Woakes,Overseas,All-Rounder,1.0,1989-03-02
Dilshan Madushanka,Overseas,Bowler,1.0,2000-09-18
Nuwan Thushara,Overseas,Bowler,1.0,1994-08-06
Gerald Coetzee,Overseas,All-Rounder,1.0,2000-10-02
Jhye Richardson,Overseas,Bowler,1.0,1996-09-20
Yash Dayal,Indian,Bowler,0.0,1997-12-13
Shubham Dubey,Indian,Batter,0.0,1994-08-27
Umesh Yadav,Indian,Bowler,1.0,1996-07-20
Shivam Mavi,Indian,Bowler,1.0,1998-11-26
Travis Head,Overseas,Batter,1.0,1993-12-29
Kumar Kushagra,Indian,Wicket-Keeper,0.0,2004-10-23
Rovman Powell,Overseas,Batter,1.0,1993-07-23
Shahrukh Khan,Indian,All-Rounder,0.0,1995-05-27
Rilee Rossouw,Overseas,Batter,1.0,1989-10-09
Sameer Rizvi,Indian,Batter,0.0,2003-12-06
Spencer Johnson,Overseas,Bowler,1.0,1995-12-16
Alzarri Joseph,Overseas,Bowler,1.0,1996-11-20
Harshal Patel,Indian,All-Rounder,1.0,1990-11-23
Daryl Mitchell,Overseas,All-Rounder,1.0,1991-05-20
Pat Cummins,Overseas,All-Rounder,1.0,1993-05-08
Mitchell Starc,Overseas,Bowler,1.0,1990-01-30
Steve Smith,Overseas,Batter,0.0,1989-06-02
Josh Inglis,Overseas,Wicket-Keeper,1.0,1995-03-04
Josh Hazlewood,Overseas,Bowler,1.0,1991-01-08
Adil Rashid,Overseas,Bowler,1.0,1988-02-17
Rassie Van Der Dussen,Overseas,Batter,0.0,1989-02-07
James Vince,Overseas,Batter,1.0,1991-03-14
Sean Abbott,Overseas,All-Rounder,1.0,1992-02-29
Jamie Overton,Overseas,All-Rounder,0.0,1994-04-10
Ben Duckett,Overseas,Wicket-Keeper,1.0,1994-10-17
Philip Salt,Overseas,Wicket-Keeper,1.0,1996-08-28
Colin Munro,Overseas,Batter,1.0,1987-03-11
Jason Holder,Overseas,All-Rounder,1.0,1991-11-05
James Neesham,Overseas,All-Rounder,1.0,1990-09-17
Daniel Sams,Overseas,All-Rounder,1.0,1992-10-27
Chris Jordan,Overseas,Bowler,1.0,1988-10-04
Tymal Mills,Overseas,Bowler,1.0,1992-08-12
Tim Southee,Overseas,Bowler,1.0,1988-12-11
Ashton Agar,Overseas,All-Rounder,1.0,1993-10-14
Michael Bracewell,Overseas,All-Rounder,1.0,1991-02-14
Dwaine Pretorius,Overseas,All-Rounder,1.0,1989-03-29
Sam Billings,Overseas,Wicket-Keeper,1.0,1991-06-15
Kyle Jamieson,Overseas,Bowler,1.0,1994-12-30
Riley Meredith,Overseas,Bowler,1.0,1996-06-21
Adam Milne,Overseas,Bowler,1.0,1992-04-13
Wayne Parnell,Overseas,Bowler,1.0,1989-07-30
David Wiese,Overseas,All-Rounder,1.0,1985-05-18
Ish Sodhi,Overseas,Bowler,1.0,1992-10-31
Finn Allen,Overseas,Batter,0.0,1999-04-22
Fabian Allen,Overseas,All-Rounder,0.0,1995-05-07
Keemo Paul,Overseas,All-Rounder,1.0,1998-02-21
Matt Henry,Overseas,Bowler,1.0,1991-12-14
Lance Morris,Overseas,Bowler,0.0,1998-03-28
Ollie Robinson,Overseas,Bowler,0.0,1993-12-01
Billy Stanlake,Overseas,Bowler,1.0,1994-11-04
Olly Stone,Overseas,Bowler,1.0,1993-10-09
Karun Nair,Indian,Batter,0.0,1991-12-06
Kusal Mendis,Overseas,Wicket-Keeper,0.0,1995-02-02
Akeal Hosein,Overseas,Bowler,1.0,1993-04-25
Mohammad Waqar Salamkheil,Overseas,Bowler,0.0,
Tabraiz Shamsi,Overseas,Bowler,1.0,1990-02-18
Alick Athanaze,Overseas,Batter,0.0,1998-12-07
Mark Chapman,Overseas,Batter,1.0,1994-06-27
Samuel Hain,Overseas,Batter,0.0,
Reeza Hendricks,Overseas,Batter,1.0,1989-08-14
Brandon King,Overseas,Batter,1.0,1994-12-16
Ibrahim Zadran,Overseas,Batter,1.0,2001-12-12
Najibullah Zadran,Overseas,Batter,1.0,1993-02-28
Wesley Agar,Overseas,All-Rounder,0.0,
Qais Ahamad,Overseas,All-Rounder,0.0,
Charith Asalanka,Overseas,All-Rounder,0.0,1997-06-29
Brydon Carse,Overseas,All-Rounder,0.0,1995-07-31
Ben Cutting,Overseas,All-Rounder,1.0,1987-01-30
Matthew Forde,Overseas,All-Rounder,0.0,2002-04-29
George Garton,Overseas,All-Rounder,1.0,1997-04-15
George Linde,Overseas,All-Rounder,1.0,1991-12-04
Keshav Maharaj,Overseas,All-Rounder,1.0,1990-02-07
Wiaan Mulder,Overseas,All-Rounder,0.0,1998-02-19
Dasun Shanaka,Overseas,All-Rounder,0.0,1991-09-09
Matthew Short,Overseas,All-Rounder,0.0,1995-11-08
Odean Smith,Overseas,All-Rounder,1.0,1996-11-01
Hanuma Vihari,Indian,All-Rounder,0.0,1993-10-13
Johnson Charles,Overseas,Wicket-Keeper,1.0,1989-01-14
Varun Aaron,Indian,Bowler,0.0,1989-10-29
Fareed Ahmad,Overseas,Bowler,1.0,1994-08-10
Dushmanta Chameera,Overseas,Bowler,0.0,
Ben Dwarshuis,Overseas,Bowler,1.0,1994-06-23
Richard Gleeson,Overseas,Bowler,1.0,1987-12-02
Siddharth Kaul,Indian,Bowler,1.0,
Lahiru Kumara,Overseas,Bowler,0.0,1997-02-13
Obed Mccoy,Overseas,Bowler,0.0,1997-01-04
Blessing Muzarabani,Overseas,Bowler,1.0,1996-10-02
Richard Ngarava,Overseas,Bowler,1.0,1997-12-28
George Scrimshaw,Overseas,Bowler,0.0,1998-02-10
Barinder Sran,Indian,Bowler,1.0,1992-12-10
Oshane Thomas,Overseas,Bowler,1.0,1997-02-18
Sandeep Warrier,Indian,Bowler,1.0,1991-04-04
Lizaad Williams,Overseas,Bowler,1.0,1993-10-01
Luke Wood,Overseas,Bowler,1.0,1982-03-19
Benny Howell,Overseas,All-Rounder,0.0,1988-10-05
Jalaj Saxena,Indian,All-Rounder,0.0,1986-12-15
Corbin Bosch,Overseas,All-Rounder,0.0,1994-09-10
Kamlesh Nagarkoti,Indian,All-Rounder,0.0,1999-12-28
Basil Thampi,Indian,Bowler,0.0,1993-09-11
Lalit Yadav,Indian,Bowler,0.0,1997-01-03
S Midhun,Indian,Bowler,0.0,
Izharulhuq Naveed,Overseas,Bowler,0.0,
Priyansh Arya,Indian,Batter,0.0,2001-01-18
Rohan Kunnummal,Indian,Batter,0.0,1998-05-10
Manan Vohra,Indian,Batter,0.0,1993-07-18
Raj Angad Bawa,Indian,All-Rounder,0.0,
Sarfaraz Khan,Indian,All-Rounder,0.0,1997-10-22
Vivrant Sharma,Indian,All-Rounder,0.0,1999-10-30
Atit Sheth,Indian,All-Rounder,0.0,1996-02-03
Hrithik Shokeen,Indian,All-Rounder,0.0,2000-08-14
Urvil Patel,Indian,Wicket-Keeper,0.0,1998-10-17
Vishnu Solanki,Indian,Wicket-Keeper,1.0,1992-10-15
Ishan Porel,Indian,Bowler,0.0,1998-09-05
Kuldip Yadav,Indian,Bowler,0.0,1996-10-15
Murgan Ashwin,Indian,Bowler,0.0,
Pulkit Narang,Indian,Bowler,0.0,1994-06-18
Shiva Singh,Indian,Bowler,1.0,1999-10-16
Dinesh Bana,Indian,Batter,0.0,2004-09-15
Rajat Dey,Indian,Batter,0.0,1996-12-31
Abhimanyu Easwaran,Indian,Batter,0.0,1995-09-06
Rithik Easwaran,Indian,Batter,0.0,2002-02-15
Chirag Gandhi,Indian,Batter,0.0,1990-06-18
Nikhil Gangta,Indian,Batter,0.0,1992-09-01
Sudip Gharami,Indian,Batter,0.0,
Ansh Gosai,Indian,Batter,0.0,2004-09-30
Azim Kazi,Indian,Batter,0.0,1993-10-14
Amandeep Khare,Indian,Batter,0.0,1997-08-05
Ankit Kumar,Indian,Batter,0.0,1997-11-01
Bhupen Lalwani,Indian,Batter,0.0,1999-04-07
Pukhraj Mann,Indian,Batter,0.0,2001-06-07
Tanmay Mishra,Indian,Batter,1.0,1986-12-22
Salman Nizar,Indian,Batter,0.0,1997-06-30
Priyank Panchal,Indian,Batter,0.0,1990-04-09
Akshat Raghuwanshi,Indian,Batter,0.0,2003-09-15
Ekant Sen,Indian,Batter,0.0,1995-06-21
Subhranshu Senapati,Indian,Batter,0.0,1996-12-30
Naushad Shaikh,Indian,Batter,0.0,1991-10-15
Dhruv Shorey,Indian,Batter,0.0,1992-06-05
Himmat Singh,Indian,Batter,1.0,1996-11-08
Virat Singh,Indian,Batter,0.0,1997-12-08
Sumeet Verma,Indian,Batter,0.0,1990-11-18
P.A. Abdul,Indian,All-Rounder,0.0,
Murugan Abhishek,Indian,All-Rounder,0.0,2004-10-12
Atharva Ankolekar,Indian,All-Rounder,0.0,2000-09-26
Baba Aparajith,Indian,All-Rounder,0.0,1994-07-08
Jass Inder Baidwan,Indian,All-Rounder,0.0,
Rahul Buddhi,Indian,All-Rounder,0.0,1997-09-20
Vaisakh Chandran,Indian,All-Rounder,0.0,1996-05-31
Writtick Chatterjee,Indian,All-Rounder,0.0,1992-09-28
Raj Chaudhary,Indian,All-Rounder,0.0,2001-10-06
Ravi Chauhan,Indian,All-Rounder,0.0,1993-09-17
Ashwin Das,Indian,All-Rounder,0.0,1995-12-16
Aarya Desai,Indian,All-Rounder,0.0,2003-04-03
Vineet Dhankhar,Indian,All-Rounder,0.0,2004-05-03
Harsh Dubey,Indian,All-Rounder,0.0,2002-07-23
Prerit Dutta,Indian,All-Rounder,0.0,1998-09-22
Jake Fraser-Mcgurk,Overseas,All-Rounder,0.0,2002-04-11
Shubhang Hegde,Indian,All-Rounder,0.0,2001-03-30
Saransh Jain,Indian,All-Rounder,0.0,1993-03-31
Duan Jansen,Overseas,All-Rounder,1.0,2000-05-01
Mohammad Kaif,Indian,All-Rounder,0.0,1980-12-01
Aman Khan,Indian,All-Rounder,1.0,
Mohd Arslan Khan,Indian,All-Rounder,0.0,
Musheer Khan,Indian,All-Rounder,0.0,2005-02-27
Tanush Kotian,Indian,All-Rounder,0.0,1998-10-16
Manvanth Kumar,Indian,All-Rounder,0.0,2004-01-11
Saurabh Kumar,Indian,All-Rounder,0.0,1993-05-01
Dev Lakra,Indian,All-Rounder,0.0,2003-01-27
Nasir Lone,Indian,All-Rounder,0.0,
Kaushik Maity,Indian,All-Rounder,0.0,1999-10-14
Divij Mehra,Indian,All-Rounder,0.0,2002-09-25
Mani Sankar Mura Singh,Indian,All-Rounder,0.0,
Sanjay Pahal,Indian,All-Rounder,0.0,1993-06-29
Jitender Pal,Indian,All-Rounder,0.0,
Saumy Pandey,Indian,All-Rounder,0.0,2004-11-04
Ansh Patel,Indian,All-Rounder,0.0,2002-02-19
Sairaj Patil,Indian,All-Rounder,1.0,1996-10-31
Pradosh Paul,Indian,All-Rounder,0.0,2000-12-21
Shubham Singh Pundir,Indian,All-Rounder,0.0,
Atal Rai,Indian,All-Rounder,0.0,
Abhimanyusingh Rajput,Indian,All-Rounder,0.0,
Mohit Rathee,Indian,All-Rounder,0.0,1999-01-13
Ninad Rathva,Indian,All-Rounder,0.0,1999-03-10
Rohit Rayudu,Indian,All-Rounder,0.0,1994-07-29
Aniketh Reddy,Indian,All-Rounder,0.0,2000-10-28
Mohit Redkar,Indian,All-Rounder,0.0,2000-09-27
Akash Sengupta,Indian,All-Rounder,0.0,2000-10-26
Suryansh Shedge,Indian,All-Rounder,0.0,2003-01-29
Aradhya Shukla,Indian,All-Rounder,1.0,2004-12-06
Utkarsh Singh,Indian,All-Rounder,0.0,1998-05-07
Shashank Singh,Indian,All-Rounder,1.0,1991-11-21
Prenelan Subrayen,Overseas,All-Rounder,0.0,1993-09-23
Ravi Teja,Indian,All-Rounder,0.0,1987-09-05
Akash Vashisht,Indian,All-Rounder,0.0,
Mohit Ahlawat,Indian,Wicket-Keeper,0.0,1995-12-25
G. Ajitesh,Indian,Wicket-Keeper,0.0,
L.R. Chethan,Indian,Wicket-Keeper,0.0,2000-05-25
Gourav Choudhary,Indian,Wicket-Keeper,0.0,
Harvik Desai,Indian,Wicket-Keeper,0.0,1999-10-04
Shakir Gandhi,Indian,Wicket-Keeper,0.0,1999-10-08
Sumit Ghadigaonkar,Indian,Wicket-Keeper,0.0,1992-04-11
Baba Indrajith,Indian,Wicket-Keeper,0.0,1994-07-08
Bhagmender Lather,Indian,Wicket-Keeper,0.0,1997-06-18
Anmol Malhotra,Indian,Wicket-Keeper,0.0,1995-11-29
Darshan Misal,Indian,Wicket-Keeper,0.0,1992-09-11
Nikhil Naik,Indian,Wicket-Keeper,0.0,1994-11-09
Prasad Pawar,Indian,Wicket-Keeper,0.0,1995-01-31
Mahesh Pithiya,Indian,Wicket-Keeper,0.0,2001-12-24
William Salzmann,Overseas,Wicket-Keeper,0.0,2003-11-19
Bipin Saurabh,Indian,Wicket-Keeper,0.0,1999-11-20
B.R. Sharath,Indian,Wicket-Keeper,0.0,
K.L. Shrijith,Indian,Wicket-Keeper,0.0,
Avneesh Sudha,Indian,Wicket-Keeper,0.0,2001-11-20
Aditya Tare,Indian,Wicket-Keeper,0.0,1987-11-07
Nihal Ullal,Indian,Wicket-Keeper,0.0,1993-01-19
K.M Asif,Indian,Bowler,0.0,1993-07-24
Mohit Avasthi,Indian,Bowler,0.0,1992-11-18
Ottneil Baartman,Overseas,Bowler,0.0,
Basit Bashir,Indian,Bowler,0.0,
Waseem Bashir,Indian,Bowler,0.0,2000-01-20
Sachin Bhosale,Indian,Bowler,0.0,1998-01-02
Devendra Singh Bora,Indian,Bowler,0.0,2000-12-06
Gurnoor Singh Brar,Indian,Bowler,0.0,
Saurabh Dubey,Indian,Bowler,0.0,1998-01-23
Mrinmoy Dutta,Indian,Bowler,0.0,1998-11-24
Vishal Godara,Indian,Bowler,0.0,2003-02-23
Money Grewal,Indian,Bowler,0.0,
Arpit Guleria,Indian,Bowler,0.0,1997-04-26
Mukhtar Hussain,Indian,Bowler,0.0,1999-01-11
Shamar Joseph,Overseas,Bowler,0.0,1999-08-31
Mohammed Kaif,Indian,Bowler,0.0,1996-12-10
Shubham Kapse,Indian,Bowler,0.0,1994-07-22
Devang Karamta,Indian,Bowler,0.0,1998-01-24
Kulwant Khejroliya,Indian,Bowler,0.0,1992-03-13
Ravi Kumar,Indian,Bowler,0.0,1990-10-08
Ashwani Kumar,Indian,Bowler,0.0,1997-08-25
Raj Limbani,Indian,Bowler,0.0,2005-02-02
Kwena Maphaka,Overseas,Bowler,0.0,2006-04-08
Lukman Hussain Meriwala,Indian,Bowler,0.0,
Venkatesh Muralidhara,Indian,Bowler,0.0,
William O'Rourke,Overseas,Bowler,0.0,2001-08-06
Rakshan Readdi,Indian,Bowler,0.0,2000-09-29
Manish Reddy,Indian,Bowler,0.0,
Monish Reddy,Indian,Bowler,0.0,2002-11-28
Akhin Sathar,Indian,Bowler,0.0,2002-12-01
Divesh Sharma,Indian,Bowler,0.0,
Ashok Sharma,Indian,Bowler,1.0,2002-06-17
Abhilash Shetty,Indian,Bowler,0.0,1998-06-06
Rahul Shukla,Indian,Bowler,0.0,1990-08-28
Manit Singh,Indian,Bowler,0.0,
Gurjapneet Singh,Indian,Bowler,1.0,1998-11-08
Paul Van Meekeren,Overseas,Bowler,1.0,1993-01-15
Nitin Verma,Indian,Bowler,0.0,
Chris Wood,Overseas,Bowler,0.0,1990-06-27
Gourav Yadav,Indian,Bowler,0.0,
Prithvi Raj Yarra,Indian,Bowler,0.0,1998-02-20
Mujtaba Yousuf,Indian,Bowler,0.0,2002-06-07
Shubham Agrawal,Indian,Bowler,0.0,
Mustaq Beg,Indian,Bowler,0.0,
K.C Cariappa,Indian,Bowler,0.0,1994-04-13
Ganesh Chaudhary,Indian,Bowler,0.0,
Yuvraj Chudasama,Indian,Bowler,0.0,1995-11-03
Jasmer Dhankhar,Indian,Bowler,0.0,1998-10-16
Chintal Gandhi,Indian,Bowler,0.0,1994-08-25
Allah Ghazanfar,Overseas,Bowler,0.0,2007-07-15
Raghav Goyal,Indian,Bowler,0.0,2001-01-26
Shreyas Gurav,Indian,Bowler,0.0,
Vishu Kashyap,Indian,Bowler,0.0,1997-12-26
Bhuwan Rohilla,Indian,Bowler,0.0,2001-10-10
Shivam Sharma,Indian,Bowler,1.0,1995-11-14
Digvesh Singh,Indian,Bowler,0.0,
Jagadeesha Suchith,Indian,Bowler,0.0,1994-01-16
B. Surya,Indian,Bowler,0.0,
Pankaj Yadav,Indian,Bowler,0.0,1996-11-07
Sahil Dhiwan,Indian,All-Rounder,0.0,1997-07-03
Kaushal Tambe,Indian,All-Rounder,0.0,2002-10-14
