PLAYER,OverseasIndian,TYPE,Played For Country,Predicted Price,Selling Price,Base Price,Performance
Abid Mushtaq,Indian,All-Rounder,0.0,2108533.0,2000000.0,0.0,23.0679205
Akash Singh,Indian,Bowler,0.0,3987720.5,2000000.0,0.0,25.516441
Angkrish Raghuvanshi,Indian,Batter,0.0,2105171.5,2000000.0,0.0,23.0679205
Anshul Kamboj,Indian,All-Rounder,0.0,2105053.2,2000000.0,0.0,23.0679205
Arshin Kulkarni,Indian,All-Rounder,0.0,2099252.5,2000000.0,0.0,23.0679205
Ashutosh Sharma,Indian,All-Rounder,0.0,7400235.5,2000000.0,0.0,38.6630875
Avanish Rao Aravelly,Indian,Wicket-Keeper,0.0,2113026.8,2000000.0,0.0,23.0679205
Jhathavedh Subramanyan,Indian,Bowler,0.0,2118371.2,2000000.0,0.0,23.0679205
Manav Suthar,Indian,Bowler,0.0,2111150.0,2000000.0,0.0,23.0679205
Mohd. Arshad Khan,Indian,All-Rounder,0.0,2835830.5,2000000.0,0.0,40.153836999999996
Naman Dhir,Indian,All-Rounder,0.0,2105053.2,2000000.0,0.0,23.0679205
Prince Choudhary,Indian,Bowler,0.0,2114630.5,2000000.0,0.0,23.0679205
Ramandeep Singh,Indian,All-Rounder,0.0,7005607.0,2000000.0,0.0,38.67414099999999
Rasikh Dar,Indian,Bowler,0.0,2113470.2,2000000.0,0.0,23.0679205
Ricky Bhui,Indian,Wicket-Keeper,0.0,2200513.8,2000000.0,0.0,14.154940999999999
Sakib Hussain,Indian,Bowler,0.0,2108830.2,2000000.0,0.0,23.0679205
Saurav Chuahan,Indian,Batter,0.0,2115872.5,2000000.0,0.0,23.0679205
Shashank Singh (2),Indian,Batter,0.0,11518901.0,2000000,0.0,23.0679205
Shivalik Sharma,Indian,All-Rounder,0.0,2431848.5,2000000.0,0.0,23.0679205
Shreyas Gopal,Indian,Bowler,0.0,2494120.5,2000000.0,0.0,32.126097
Swapnil Singh,Indian,All-Rounder,0.0,10818467.0,2000000.0,0.0,21.212301000000004
Swastik Chhikara,Indian,Batter,0.0,2115872.5,2000000.0,0.0,23.0679205
Tanay Thyagarajann,Indian,All-Rounder,0.0,2109954.2,2000000.0,0.0,23.0679205
Vishwanath Pratap Singh,Indian,All-Rounder,0.0,2199719.8,2000000.0,0.0,18.959241
Tom Kohler-Cadmore,Overseas,Wicket-Keeper,0.0,2126479.5,4000000.0,0.0,23.0679205
Azmatullah Omarzai,Overseas,All-Rounder,1.0,9845098.0,5000000.0,0.0,41.7798155
Chetan Sakariya,Indian,Bowler,1.0,5381371.0,5000000.0,0.0,11.921111000000002
K.S. Bharat,Indian,Wicket-Keeper,1.0,2360383.5,5000000.0,0.0,47.853121
Manish Pandey,Indian,Batter,1.0,5443306.5,5000000.0,0.0,84.840484
Nandre Burger,Overseas,Bowler,1.0,2144465.0,5000000.0,0.0,23.0679205
Tristan Stubbs,Overseas,Wicket-Keeper,1.0,11498641.0,5000000.0,0.0,41.17182
Kartik Tyagi,Indian,Bowler,0.0,3639234.0,6000000.0,0.0,28.063706000000003
Shai Hope,Overseas,Wicket-Keeper,1.0,7142858.5,7500000.0,0.0,36.450661499999995
Ashton Turner,Overseas,Batter,1.0,4099659.2,10000000.0,0.0,10.4256
Gus Atkinson,Overseas,Bowler,1.0,2140985.0,10000000.0,0.0,23.0679205
Sumit Kumar,Indian,All-Rounder,0.0,2109693.2,10000000.0,0.0,23.0679205
Mohammad Nabi,Overseas,All-Rounder,1.0,31896630.0,15000000.0,0.0,67.955814
Sherfane Rutherford,Overseas,Batter,1.0,4614718.0,15000000.0,0.0,28.270488
Tom Curran,Overseas,All-Rounder,1.0,12891292.0,15000000.0,0.0,54.685772
Wanindu Hasaranga,Overseas,All-Rounder,1.0,2133727.5,15000000.0,0.0,23.0679205
Jaydev Unadkat,Indian,Bowler,1.0,7641269.5,16000000.0,0.0,36.468751
Rachin Ravindra,Overseas,All-Rounder,1.0,7764715.0,18000000.0,0.0,21.381007500000003
David Willey,Overseas,All-Rounder,1.0,19651054.0,20000000.0,0.0,63.092946999999995
Lockie Ferguson,Overseas,Bowler,1.0,15268348.0,20000000.0,0.0,65.884342
Mujeeb Rahman,Overseas,Bowler,1.0,12732593.0,20000000.0,0.0,19.910058
Mustafizur Rahman,Overseas,Bowler,1.0,30483042.0,20000000.0,0.0,22.371152000000002
Sushant Mishra,Indian,Bowler,0.0,2113470.2,22000000.0,0.0,23.0679205
M. Siddharth,Indian,Bowler,0.0,2125070.2,24000000.0,0.0,23.0679205
Robin Minz,Indian,Wicket-Keeper,0.0,2105805.8,36000000.0,0.0,23.0679205
Harry Brook,Overseas,Batter,1.0,15408319.0,40000000.0,0.0,62.958051000000005
Shardul Thakur,Indian,All-Rounder,1.0,22217538.0,40000000.0,0.0,135.66122199999998
Chris Woakes,Overseas,All-Rounder,1.0,11724359.0,42000000.0,0.0,46.79607
Dilshan Madushanka,Overseas,Bowler,1.0,4198978.5,46000000.0,0.0,10.577590500000001
Nuwan Thushara,Overseas,Bowler,1.0,3962415.0,48000000.0,0.0,11.3542795
Gerald Coetzee,Overseas,All-Rounder,1.0,2130247.5,50000000.0,0.0,23.0679205
Jhye Richardson,Overseas,Bowler,1.0,9336875.0,50000000.0,0.0,24.313883999999998
Yash Dayal,Indian,Bowler,0.0,7120863.5,50000000.0,0.0,20.706325
Shubham Dubey,Indian,Batter,0.0,2117931.8,58000000.0,0.0,23.0679205
Umesh Yadav,Indian,Bowler,1.0,14503872.0,58000000.0,0.0,41.447202000000004
Shivam Mavi,Indian,Bowler,1.0,10587446.0,64000000.0,0.0,34.175792
Travis Head,Overseas,Batter,1.0,7459493.0,68000000.0,0.0,76.19911400000001
Kumar Kushagra,Indian,Wicket-Keeper,0.0,2103485.5,72000000.0,0.0,23.0679205
Rovman Powell,Overseas,Batter,1.0,22924594.0,74000000.0,0.0,64.316078
Shahrukh Khan,Indian,All-Rounder,0.0,2539426.5,74000000.0,0.0,39.781032999999994
Rilee Rossouw,Overseas,Batter,1.0,16531287.0,80000000.0,0.0,85.880567
Sameer Rizvi,Indian,Batter,0.0,2107491.5,84000000.0,0.0,23.0679205
Spencer Johnson,Overseas,Bowler,1.0,2144465.0,100000000.0,0.0,23.0679205
Alzarri Joseph,Overseas,Bowler,1.0,13742845.0,115000000.0,0.0,57.70233399999999
Harshal Patel,Indian,All-Rounder,1.0,19530762.0,117500000.0,0.0,39.186987
Daryl Mitchell,Overseas,All-Rounder,1.0,18602014.0,140000000.0,0.0,50.183485999999995
Pat Cummins,Overseas,All-Rounder,1.0,20001018.0,205000000.0,0.0,51.683826999999994
Mitchell Starc,Overseas,Bowler,1.0,19762206.0,247500000.0,0.0,33.689318
Steve Smith,Overseas,Batter,0.0,10063720.0,0.0,20000000.0,76.18116599999999
Josh Inglis,Overseas,Wicket-Keeper,1.0,10078664.0,0.0,20000000.0,44.4353265
Josh Hazlewood,Overseas,Bowler,1.0,20874890.0,0.0,20000000.0,37.872057
Adil Rashid,Overseas,Bowler,1.0,26448402.0,0.0,20000000.0,27.234677999999995
Rassie Van Der Dussen,Overseas,Batter,0.0,2135125.5,0.0,20000000.0,23.0679205
James Vince,Overseas,Batter,1.0,8082313.0,0.0,20000000.0,47.09098350000001
Sean Abbott,Overseas,All-Rounder,1.0,6084799.0,0.0,20000000.0,17.458726
Jamie Overton,Overseas,All-Rounder,0.0,2123406.5,0.0,20000000.0,23.0679205
Ben Duckett,Overseas,Wicket-Keeper,1.0,12902614.0,0.0,20000000.0,59.454231500000006
Philip Salt,Overseas,Wicket-Keeper,1.0,14558553.0,0.0,15000000.0,77.39927499999999
Colin Munro,Overseas,Batter,1.0,5077823.5,0.0,15000000.0,66.005375
Jason Holder,Overseas,All-Rounder,1.0,27253400.0,0.0,15000000.0,44.22643000000001
James Neesham,Overseas,All-Rounder,1.0,20580640.0,0.0,15000000.0,66.176772
Daniel Sams,Overseas,All-Rounder,1.0,15389401.0,0.0,15000000.0,60.637753
Chris Jordan,Overseas,Bowler,1.0,35404580.0,0.0,15000000.0,39.788337
Tymal Mills,Overseas,Bowler,1.0,10392962.0,0.0,15000000.0,10.231876
Tim Southee,Overseas,Bowler,1.0,38743040.0,0.0,15000000.0,39.271014
Ashton Agar,Overseas,All-Rounder,1.0,16290735.0,0.0,10000000.0,27.3643635
Michael Bracewell,Overseas,All-Rounder,1.0,10993871.0,0.0,10000000.0,62.383375
Dwaine Pretorius,Overseas,All-Rounder,1.0,18405064.0,0.0,10000000.0,66.960148
Sam Billings,Overseas,Wicket-Keeper,1.0,6801901.5,0.0,10000000.0,47.838307
Kyle Jamieson,Overseas,Bowler,1.0,10836459.0,0.0,10000000.0,62.68565
Riley Meredith,Overseas,Bowler,1.0,9330067.0,0.0,10000000.0,19.748305
Adam Milne,Overseas,Bowler,1.0,15488255.0,0.0,10000000.0,37.270817
Wayne Parnell,Overseas,Bowler,1.0,20410150.0,0.0,10000000.0,33.484133
David Wiese,Overseas,All-Rounder,1.0,17747666.0,0.0,10000000.0,89.053085
Ish Sodhi,Overseas,Bowler,1.0,27426448.0,0.0,7500000.0,19.249404
Finn Allen,Overseas,Batter,0.0,16480667.0,0.0,7500000.0,42.354800000000004
Fabian Allen,Overseas,All-Rounder,0.0,12678001.0,0.0,7500000.0,34.289432
Keemo Paul,Overseas,All-Rounder,1.0,12765223.0,0.0,7500000.0,36.91867
Matt Henry,Overseas,Bowler,1.0,6557423.5,0.0,7500000.0,18.687779499999998
Lance Morris,Overseas,Bowler,0.0,2127184.2,0.0,7500000.0,23.0679205
Ollie Robinson,Overseas,Bowler,0.0,2132984.0,0.0,7500000.0,23.0679205
Billy Stanlake,Overseas,Bowler,1.0,10452712.0,0.0,7500000.0,28.679166000000002
Olly Stone,Overseas,Bowler,1.0,2342565.2,0.0,7500000.0,23.0679205
Karun Nair,Indian,Batter,0.0,2976007.5,0.0,5000000.0,44.438191
Kusal Mendis,Overseas,Wicket-Keeper,0.0,2125319.5,0.0,5000000.0,23.0679205
Akeal Hosein,Overseas,Bowler,1.0,13476378.0,0.0,5000000.0,59.974237
Mohammad Waqar Salamkheil,Overseas,Bowler,0.0,2129765.0,0.0,5000000.0,23.0679205
Tabraiz Shamsi,Overseas,Bowler,1.0,19768138.0,0.0,5000000.0,29.954786999999996
Alick Athanaze,Overseas,Batter,0.0,2124685.0,0.0,5000000.0,23.0679205
Mark Chapman,Overseas,Batter,1.0,16188677.0,0.0,5000000.0,48.9756785
Samuel Hain,Overseas,Batter,0.0,2127266.2,0.0,5000000.0,23.0679205
Reeza Hendricks,Overseas,Batter,1.0,13276799.0,0.0,5000000.0,52.3990795
Brandon King,Overseas,Batter,1.0,20544278.0,0.0,5000000.0,47.1906855
Ibrahim Zadran,Overseas,Batter,1.0,16641866.0,0.0,5000000.0,37.5724295
Najibullah Zadran,Overseas,Batter,1.0,12456721.0,0.0,5000000.0,54.9466695
Wesley Agar,Overseas,All-Rounder,0.0,2121347.5,0.0,5000000.0,23.0679205
Qais Ahamad,Overseas,All-Rounder,0.0,2121347.5,0.0,5000000.0,23.0679205
Charith Asalanka,Overseas,All-Rounder,0.0,2119927.0,0.0,5000000.0,23.0679205
Brydon Carse,Overseas,All-Rounder,0.0,2122246.5,0.0,5000000.0,23.0679205
Ben Cutting,Overseas,All-Rounder,1.0,6683078.0,0.0,5000000.0,63.696355999999994
Matthew Forde,Overseas,All-Rounder,0.0,2114126.8,0.0,5000000.0,23.0679205
George Garton,Overseas,All-Rounder,1.0,3981880.8,0.0,5000000.0,2.0
George Linde,Overseas,All-Rounder,1.0,7605385.5,0.0,5000000.0,24.8497695
Keshav Maharaj,Overseas,All-Rounder,1.0,9653881.0,0.0,5000000.0,31.238283499999998
Wiaan Mulder,Overseas,All-Rounder,0.0,2118766.8,0.0,5000000.0,23.0679205
Dasun Shanaka,Overseas,All-Rounder,0.0,2126887.0,0.0,5000000.0,23.0679205
Matthew Short,Overseas,All-Rounder,0.0,2771313.5,0.0,5000000.0,37.511791
Odean Smith,Overseas,All-Rounder,1.0,14362728.0,0.0,5000000.0,46.18181200000001
Hanuma Vihari,Indian,All-Rounder,0.0,2113173.0,0.0,5000000.0,23.0679205
Johnson Charles,Overseas,Wicket-Keeper,1.0,9470781.0,0.0,5000000.0,39.72338450000001
Varun Aaron,Indian,Bowler,0.0,2872684.0,0.0,5000000.0,27.831126
Fareed Ahmad,Overseas,Bowler,1.0,9945841.0,0.0,5000000.0,44.6071115
Dushmanta Chameera,Overseas,Bowler,0.0,2129765.0,0.0,5000000.0,23.0679205
Ben Dwarshuis,Overseas,Bowler,1.0,2391955.5,0.0,5000000.0,23.0679205
Richard Gleeson,Overseas,Bowler,1.0,4135650.0,0.0,5000000.0,10.8542795
Siddharth Kaul,Indian,Bowler,1.0,3418203.5,0.0,5000000.0,22.143065
Lahiru Kumara,Overseas,Bowler,0.0,2128343.8,0.0,5000000.0,23.0679205
Obed Mccoy,Overseas,Bowler,0.0,2128343.8,0.0,5000000.0,23.0679205
Blessing Muzarabani,Overseas,Bowler,1.0,11015430.0,0.0,5000000.0,16.8276435
Richard Ngarava,Overseas,Bowler,1.0,12172691.0,0.0,5000000.0,21.8200295
George Scrimshaw,Overseas,Bowler,0.0,2127184.2,0.0,5000000.0,23.0679205
Barinder Sran,Indian,Bowler,1.0,3093413.0,0.0,5000000.0,31.830307
Oshane Thomas,Overseas,Bowler,1.0,9003423.0,0.0,5000000.0,17.5244575
Sandeep Warrier,Indian,Bowler,1.0,2715605.8,0.0,5000000.0,48.223641
Lizaad Williams,Overseas,Bowler,1.0,4977752.0,0.0,5000000.0,12.639879500000001
Luke Wood,Overseas,Bowler,1.0,2661003.5,0.0,5000000.0,23.0679205
Benny Howell,Overseas,All-Rounder,0.0,2130367.0,0.0,4000000.0,23.0679205
Jalaj Saxena,Indian,All-Rounder,0.0,2065508.0,0.0,4000000.0,23.0679205
Corbin Bosch,Overseas,All-Rounder,0.0,2123406.5,0.0,3000000.0,23.0679205
Kamlesh Nagarkoti,Indian,All-Rounder,0.0,2625603.0,0.0,3000000.0,37.470490999999996
Basil Thampi,Indian,Bowler,0.0,3858707.0,0.0,3000000.0,52.315528
Lalit Yadav,Indian,Bowler,0.0,6116641.0,0.0,3000000.0,45.693883
S Midhun,Indian,Bowler,0.0,2039616.8,0.0,3000000.0,23.0679205
Izharulhuq Naveed,Overseas,Bowler,0.0,2129765.0,0.0,3000000.0,23.0679205
Priyansh Arya,Indian,Batter,0.0,2109811.2,0.0,2000000.0,23.0679205
Rohan Kunnummal,Indian,Batter,0.0,2113291.5,0.0,2000000.0,23.0679205
Manan Vohra,Indian,Batter,0.0,2751321.2,0.0,2000000.0,42.065896
Raj Angad Bawa,Indian,All-Rounder,0.0,2267550.8,0.0,2000000.0,17.034990999999998
