player,team,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs
Abdul Samad,Sunrisers Hyderabad,111,87,4,8,12759,1233,9,6,9,1,90,1,60,10,1,0
Abhishek Sharma,Sunrisers Hyderabad,93,69,7,4,13478,186,5,56,50,4,556,125,140,90,2,0
DA Warner,Sunrisers Hyderabad,189,173,15,6,10925,270,7,1,1,1,1,1,1,1,1,0
J Suchith,Sunrisers Hyderabad,1,1,1,1,1,1,1,18,45,1,150,1,1,30,1,0
JM Bairstow,Sunrisers Hyderabad,210,157,17,11,13376,420,5,1,1,1,1,1,1,1,1,0
JO Holder,Sunrisers Hyderabad,85,70,2,6,12143,1417,6,203,247,16,776,1544,1269,3183,12,0
KK Ahmed,Sunrisers Hyderabad,1,2,1,1,500,10,1,144,180,5,783,360,288,230,5,1
KM Jadhav,Sunrisers Hyderabad,46,43,1,2,10698,1533,3,1,1,1,1,1,1,1,1,0
KS Williamson,Sunrisers Hyderabad,200,183,21,2,10929,3333,6,1,1,1,1,1,1,1,1,0
MK Pandey,Sunrisers Hyderabad,292,235,21,10,12426,4867,6,1,1,1,1,1,1,1,1,0
Mohammad Nabi,Sunrisers Hyderabad,34,20,3,2,1700,1133,3,48,86,2,1075,1,240,80,1,0
Mujeeb Ur Rahman,Sunrisers Hyderabad,1,1,1,1,1000,10,1,26,29,2,725,1,130,40,2,0
PK Garg,Sunrisers Hyderabad,72,74,2,3,973,144,5,1,1,1,1,1,1,1,1,0
Rashid Khan,Sunrisers Hyderabad,83,65,9,2,12769,1186,7,319,350,17,673,2059,1876,520,7,0
S Kaul,Sunrisers Hyderabad,8,8,1,1,1000,80,1,157,219,5,842,438,314,260,1,1
S Nadeem,Sunrisers Hyderabad,1,1,1,1,1,1,1,24,36,1,90,1,240,40,1,0
Sandeep Sharma,Sunrisers Hyderabad,8,7,1,1,11429,80,1,145,203,3,864,6767,4833,235,3,1
T Natarajan,Sunrisers Hyderabad,1,1,1,1,1,1,1,50,69,2,862,1,250,80,2,0
Umran Malik,Sunrisers Hyderabad,1,1,1,1,1,1,1,75,96,2,80,480,375,120,3,0
V Shankar,Sunrisers Hyderabad,50,45,1,3,11111,125,4,52,81,3,1012,270,1733,80,4,0
Virat Singh,Sunrisers Hyderabad,11,12,1,1,9167,110,1,1,1,1,1,1,1,1,1,0
WP Saha,Sunrisers Hyderabad,131,139,7,5,9424,1456,9,1,1,1,1,1,1,1,1,0
AB de Villiers,Royal Challengers Bangalore,313,211,23,16,14834,313,10,1,1,1,1,1,1,1,1,0
D Padikkal,Royal Challengers Bangalore,411,327,44,14,12569,3162,13,1,1,1,1,1,1,1,1,0
DR Sams,Royal Challengers Bangalore,6,6,1,1,1000,60,1,38,39,1,65,1,380,60,2,0
DT Christian,Royal Challengers Bangalore,14,23,1,1,6087,233,6,104,155,4,93,3875,260,1667,4,0
GHS Garton,Royal Challengers Bangalore,2,4,1,1,500,20,1,97,135,3,90,450,3233,150,5,2
GJ Maxwell,Royal Challengers Bangalore,513,354,48,21,14492,4275,12,99,135,3,844,450,330,160,3,0
HV Patel,Royal Challengers Bangalore,59,46,6,2,12826,1475,4,361,459,32,815,1434,1128,5633,16,7
KA Jamieson,Royal Challengers Bangalore,65,55,5,3,11818,1625,4,179,270,9,964,300,1989,280,8,3
KW Richardson,Royal Challengers Bangalore,1,1,1,1,1,1,1,19,29,1,967,1,190,30,1,0
Mohammed Siraj,Royal Challengers Bangalore,20,26,1,1,7692,200,1,321,359,11,69,3264,2918,520,9,0
Navdeep Saini,Royal Challengers Bangalore,2,4,1,1,500,20,1,25,52,1,130,1,1,40,1,1
RM Patidar,Royal Challengers Bangalore,71,62,3,3,11452,1775,4,1,1,1,1,1,1,1,1,0
Sachin Baby,Royal Challengers Bangalore,7,16,1,1,4375,70,1,1,1,1,1,1,1,1,1,0
Shahbaz Ahmed,Royal Challengers Bangalore,59,53,4,2,11132,843,7,84,92,7,657,1314,120,140,1,0
TH David,Royal Challengers Bangalore,1,3,1,1,3333,10,1,1,1,1,1,1,1,1,1,0
V Kohli,Royal Challengers Bangalore,405,337,43,9,12018,2893,14,1,1,1,1,1,1,1,1,0
Washington Sundar,Royal Challengers Bangalore,31,46,2,1,6739,775,4,98,118,3,738,3933,3267,160,2,0
YS Chahal,Royal Challengers Bangalore,10,27,1,1,3704,100,1,323,377,18,711,2094,1794,530,5,0
Akash Singh,Rajasthan Royals,1,1,1,1,1,1,1,24,39,1,975,1,1,40,1,0
Anuj Rawat,Rajasthan Royals,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
BA Stokes,Rajasthan Royals,1,3,1,1,1,1,1,6,12,1,120,1,1,10,1,0
CH Morris,Rajasthan Royals,67,49,2,5,13673,134,5,262,388,15,946,2587,1747,410,16,0
DA Miller,Rajasthan Royals,124,113,11,3,10973,248,5,1,1,1,1,1,1,1,1,0
E Lewis,Rajasthan Royals,151,93,18,7,16237,302,5,1,1,1,1,1,1,1,1,0
GD Phillips,Rajasthan Royals,26,32,1,2,8125,130,2,13,20,1,100,1,130,20,1,0
JC Buttler,Rajasthan Royals,254,164,27,13,15488,3629,7,1,1,1,1,1,1,1,1,0
JD Unadkat,Rajasthan Royals,41,29,3,2,14138,205,2,134,168,4,764,420,335,220,2,0
Kartik Tyagi,Rajasthan Royals,2,4,1,1,500,20,1,93,124,4,886,310,2325,140,8,1
LS Livingstone,Rajasthan Royals,42,41,3,1,10244,84,5,1,1,1,1,1,1,1,1,0
M Markande,Rajasthan Royals,1,1,1,1,1,1,1,18,26,1,867,1,1,30,1,0
M Vohra,Rajasthan Royals,42,39,5,2,10769,105,4,1,1,1,1,1,1,1,1,0
MK Lomror,Rajasthan Royals,94,73,3,6,12877,3133,3,43,47,1,671,1,430,70,1,0
Mustafizur Rahman,Rajasthan Royals,8,14,1,1,5714,80,1,327,441,14,851,315,2336,5183,14,2
R Parag,Rajasthan Royals,93,82,6,4,11341,1162,8,39,73,1,1183,1,390,617,2,0
R Tewatia,Rajasthan Royals,155,147,11,6,10544,155,10,229,340,8,919,425,2862,370,7,0
S Dube,Rajasthan Royals,230,193,18,10,11917,2875,8,31,52,1,104,1,1,50,1,0
S Gopal,Rajasthan Royals,7,5,1,1,1400,70,1,42,84,1,120,1,1,70,1,0
SV Samson,Rajasthan Royals,484,351,45,17,13789,4033,12,1,1,1,1,1,1,1,1,0
T Shamsi,Rajasthan Royals,2,4,1,1,500,20,1,24,34,1,85,1,1,40,1,0
YBK Jaiswal,Rajasthan Royals,249,168,32,10,14821,249,10,1,1,1,1,1,1,1,1,0
AK Markram,Punjab Kings,146,119,12,4,12269,292,5,25,23,1,575,1,1,40,1,0
Arshdeep Singh,Punjab Kings,2,3,1,1,6667,20,1,263,342,18,827,190,1461,4133,15,0
AU Rashid,Punjab Kings,1,1,1,1,1,1,1,18,35,1,1167,1,1,30,1,0
B Kumar,Punjab Kings,34,30,3,1,11333,340,1,259,335,6,798,5583,4317,420,7,0
CH Gayle,Punjab Kings,193,154,21,8,12532,2144,9,1,1,1,1,1,1,1,1,0
CJ Jordan,Punjab Kings,32,21,1,3,15238,160,2,74,99,4,825,2475,185,120,2,0
DJ Hooda,Punjab Kings,160,121,9,9,13223,160,10,96,136,2,85,680,480,160,1,0
DJ Malan,Punjab Kings,26,26,1,1,1000,260,1,1,1,1,1,1,1,1,1,0
FA Allen,Punjab Kings,6,11,1,1,5455,60,1,67,90,1,818,900,670,110,1,0
Harpreet Brar,Punjab Kings,64,58,3,2,11034,640,1,141,140,5,609,280,282,230,3,0
IC Porel,Punjab Kings,1,1,1,1,1,1,1,26,39,1,975,1,260,40,2,0
JA Richardson,Punjab Kings,15,24,2,1,625,75,2,69,120,3,1091,400,230,110,3,0
Jalaj S Saxena,Punjab Kings,1,1,1,1,1,1,1,18,27,1,90,1,1,30,1,0
KL Rahul,Punjab Kings,626,450,48,30,13911,626,10,1,1,1,1,1,1,1,1,0
M Ashwin,Punjab Kings,15,24,1,1,625,75,2,71,97,1,882,970,710,110,4,1
M Shahrukh Khan,Punjab Kings,153,114,9,10,13421,2186,7,1,1,1,1,1,1,1,1,0
MA Agarwal,Punjab Kings,441,309,42,18,14272,4009,11,1,1,1,1,1,1,1,1,0
Mandeep Singh,Punjab Kings,15,13,2,1,11538,150,1,1,1,1,1,1,1,1,1,0
MC Henriques,Punjab Kings,31,32,1,1,9688,155,2,61,45,4,45,1125,1525,100,1,0
Mohammed Shami,Punjab Kings,13,17,1,1,7647,130,1,323,396,19,752,2084,170,5267,5,2
N Pooran,Punjab Kings,85,76,3,5,11184,773,11,1,1,1,1,1,1,1,1,0
NT Ellis,Punjab Kings,18,16,1,1,1125,180,1,68,90,1,818,900,680,110,2,0
P Simran Singh,Punjab Kings,19,23,1,1,8261,95,2,1,1,1,1,1,1,1,1,0
Ravi Bishnoi,Punjab Kings,1,4,1,1,250,10,1,220,234,12,65,195,1833,360,4,0
RP Meredith,Punjab Kings,1,1,1,1,1,1,1,108,169,4,994,4225,270,170,5,1
SN Khan,Punjab Kings,1,4,1,1,1,1,2,1,1,1,1,1,1,1,1,0
AF Milne,Mumbai Indians,16,17,1,1,9412,80,2,87,132,3,943,440,290,140,2,1
Anmolpreet Singh,Mumbai Indians,16,14,2,1,11429,160,1,1,1,1,1,1,1,1,1,0
CA Lynn,Mumbai Indians,49,35,4,3,1400,490,1,1,1,1,1,1,1,1,1,0
DS Kulkarni,Mumbai Indians,1,1,1,1,1,1,1,26,48,1,120,1,1,40,2,0
HH Pandya,Mumbai Indians,127,111,11,5,11441,1411,9,1,1,1,1,1,1,1,1,0
Ishan Kishan,Mumbai Indians,241,177,21,10,13616,2678,9,1,1,1,1,1,1,1,1,0
J Yadav,Mumbai Indians,34,26,2,1,13077,170,2,106,130,2,765,650,530,170,4,0
JDS Neesham,Mumbai Indians,1,2,1,1,1,1,2,54,66,5,733,132,108,90,1,0
JJ Bumrah,Mumbai Indians,16,17,2,1,9412,80,2,347,414,21,753,1971,1652,550,12,5
JJ Roy,Mumbai Indians,150,120,21,1,1250,300,5,1,1,1,1,1,1,1,1,0
KA Pollard,Mumbai Indians,245,164,16,16,14939,3062,8,85,95,5,721,190,170,1317,5,1
KH Pandya,Mumbai Indians,143,122,10,6,11721,143,10,210,265,5,799,530,420,3317,9,2
M Jansen,Mumbai Indians,1,3,1,1,1,1,2,40,45,2,75,1,200,60,3,1
NM Coulter-Nile,Mumbai Indians,4,5,1,1,800,20,2,121,127,7,635,1814,1729,200,1,1
PP Chawla,Mumbai Indians,1,2,1,1,1,1,1,24,38,1,95,1,240,40,1,0
Q de Kock,Mumbai Indians,297,255,29,7,11647,297,10,1,1,1,1,1,1,1,1,0
RD Chahar,Mumbai Indians,14,15,1,1,9333,28,5,261,321,13,747,2469,2008,430,3,0
RG Sharma,Mumbai Indians,381,298,33,14,12785,2931,13,7,13,1,1111,1,1,117,1,0
SA Yadav,Mumbai Indians,317,220,40,10,14409,2264,14,1,1,1,1,1,1,1,1,0
SS Tiwary,Mumbai Indians,115,97,10,2,11856,575,2,1,1,1,1,1,1,1,1,0
TA Boult,Mumbai Indians,1,4,1,1,250,10,1,317,406,13,791,3123,2438,5133,8,1
AD Russell,Kolkata Knight Riders,183,117,14,14,15641,2614,7,122,188,11,989,1709,1109,190,8,0
CV Varun,Kolkata Knight Riders,2,4,1,1,500,20,1,416,449,18,66,2494,2311,680,5,3
EJG Morgan,Kolkata Knight Riders,133,139,8,6,9568,1108,12,1,1,1,1,1,1,1,1,0
Harbhajan Singh,Kolkata Knight Riders,4,4,1,1,1000,40,1,45,63,1,90,1,1,70,2,1
K Yadav,Kolkata Knight Riders,1,4,1,1,1,1,1,12,16,1,80,1,1,20,1,0
KD Karthik,Kolkata Knight Riders,223,170,22,7,13118,223,10,1,1,1,1,1,1,1,1,0
KL Nagarkoti,Kolkata Knight Riders,1,2,1,1,1,1,1,12,25,1,125,1,1,20,1,0
KS Bharat,Kolkata Knight Riders,191,154,10,8,12403,382,5,1,1,1,1,1,1,1,1,0
LH Ferguson,Kolkata Knight Riders,18,10,1,1,1800,180,1,186,224,13,747,1723,1431,300,4,2
M Prasidh Krishna,Kolkata Knight Riders,1,1,1,1,1,1,1,253,354,12,919,295,2108,385,14,8
N Rana,Kolkata Knight Riders,383,313,34,17,12236,2946,13,12,12,1,60,1,1,20,1,0
PJ Cummins,Kolkata Knight Riders,93,56,5,8,16607,310,3,168,237,9,883,2633,1867,2683,7,0
RA Tripathi,Kolkata Knight Riders,397,282,41,11,14078,2836,14,1,1,1,1,1,1,1,1,0
S Sandeep Warrier,Kolkata Knight Riders,1,1,1,1,1,1,1,12,15,1,75,1,1,20,1,0
Shakib Al Hasan,Kolkata Knight Riders,47,48,3,1,9792,94,5,157,187,4,719,4675,3925,260,1,0
Shivam Mavi,Kolkata Knight Riders,25,20,2,2,1250,125,2,204,236,11,734,2145,1855,3217,8,3
Shubman Gill,Kolkata Knight Riders,478,401,50,12,1192,2812,17,1,1,1,1,1,1,1,1,0
SP Narine,Kolkata Knight Riders,62,47,3,5,13191,775,8,344,363,16,648,2269,215,560,6,2
TG Southee,Kolkata Knight Riders,3,5,1,1,600,30,1,74,95,3,792,3167,2467,120,2,0
TL Seifert,Kolkata Knight Riders,2,4,1,1,500,20,1,1,1,1,1,1,1,1,1,0
VR Iyer,Kolkata Knight Riders,370,288,37,14,12847,4111,9,54,69,3,812,230,180,85,2,1
A Mishra,Delhi Capitals,1,1,1,1,1,1,1,60,78,5,78,156,120,100,1,0
A Nortje,Delhi Capitals,1,1,1,1,1,1,1,187,193,12,636,1608,1558,3033,5,0
AM Rahane,Delhi Capitals,8,8,1,1,1000,80,1,1,1,1,1,1,1,1,1,0
AR Patel,Delhi Capitals,40,46,2,1,8696,80,5,255,280,13,667,2154,1962,420,3,0
Avesh Khan,Delhi Capitals,5,3,1,1,16667,50,1,356,422,21,74,201,1695,570,13,1
CR Woakes,Delhi Capitals,15,11,2,1,13636,150,0,67,82,5,745,164,134,110,1,1
I Sharma,Delhi Capitals,1,1,1,1,1,1,1,72,97,1,808,970,720,120,1,0
K Rabada,Delhi Capitals,13,6,2,1,21667,130,0,327,434,15,819,2893,218,530,6,3
Lalit Yadav,Delhi Capitals,68,70,7,1,9714,340,2,84,101,4,721,2525,210,140,1,0
LI Meriwala,Delhi Capitals,1,1,1,1,1,1,1,19,32,1,1067,1,190,30,1,1
MP Stoinis,Delhi Capitals,87,69,11,1,12609,2175,4,63,108,2,1062,540,315,1017,1,1
PP Shaw,Delhi Capitals,426,261,49,17,16322,3043,14,1,1,1,1,1,1,1,1,0
R Ashwin,Delhi Capitals,44,42,2,1,10476,1467,3,253,304,7,747,4343,3614,4067,8,1
RR Pant,Delhi Capitals,382,298,38,9,12819,3473,11,1,1,1,1,1,1,1,1,0
RV Patel,Delhi Capitals,25,27,3,1,9259,250,1,20,22,1,733,1,1,30,2,0
S Dhawan,Delhi Capitals,559,443,60,16,12619,3993,14,1,1,1,1,1,1,1,1,0
SO Hetmyer,Delhi Capitals,241,140,19,12,17214,4017,6,1,1,1,1,1,1,1,1,0
SPD Smith,Delhi Capitals,118,110,10,1,10727,1967,6,1,1,1,1,1,1,1,1,0
SS Iyer,Delhi Capitals,175,171,7,5,10234,350,5,1,1,1,1,1,1,1,1,0
TK Curran,Delhi Capitals,21,17,2,1,12353,210,1,72,104,4,918,260,180,1133,4,0
AT Rayudu,Chennai Super Kings,257,167,16,17,15389,257,10,1,1,1,1,1,1,1,1,0
C Sakariya,Chennai Super Kings,16,24,2,1,6667,32,5,334,429,14,825,3064,2386,520,18,4
DJ Bravo,Chennai Super Kings,47,18,3,4,26111,470,1,221,263,14,781,1879,1579,3367,19,0
DL Chahar,Chennai Super Kings,1,1,1,1,1000,10,1,339,451,14,835,3221,2421,540,15,0
F du Plessis,Chennai Super Kings,633,456,61,23,13882,4521,14,1,1,1,1,1,1,1,1,0
Imran Tahir,Chennai Super Kings,1,1,1,1,1,1,1,26,16,2,40,1,130,40,2,0
JR Hazlewood,Chennai Super Kings,1,1,1,1,1,1,1,215,296,11,846,2691,1955,350,5,0
KM Asif,Chennai Super Kings,1,1,1,1,1,1,1,14,18,1,829,1,140,217,1,1
L Ngidi,Chennai Super Kings,1,1,1,1,1,1,1,75,128,5,1067,256,150,120,3,0
MM Ali,Chennai Super Kings,357,260,31,19,13731,255,14,154,161,6,636,2683,2567,2533,1,1
MS Dhoni,Chennai Super Kings,114,107,12,3,10654,1629,7,1,1,1,1,1,1,1,1,0
RA Jadeja,Chennai Super Kings,227,155,19,9,14645,7567,3,300,346,13,706,2662,2308,490,4,2
RD Gaikwad,Chennai Super Kings,635,462,64,23,13745,4536,14,1,1,1,1,1,1,1,1,0
RV Uthappa,Chennai Super Kings,115,84,8,5,1369,2875,4,1,1,1,1,1,1,1,1,0
SK Raina,Chennai Super Kings,160,127,13,9,12598,1778,9,1,1,1,1,1,1,1,1,0
SM Curran,Chennai Super Kings,56,29,5,3,1931,1867,3,209,328,9,994,3644,2322,330,9,2
SN Thakur,Chennai Super Kings,5,4,1,1,1250,25,2,388,528,21,883,2514,1848,5983,27,2
